Year/Measure,#737 E,#737 W,Plot 8-3 E,Plot 8-3 W,Plot 8-1 E,Plot 8-1 W,Plot 4-2 E,Plot 4-2 W,Tree 4-1 E,Tree 4-1 W,Tree 4-3 E,Tree 4-3 W,Tree 4-4 E,Tree 4-4 W,Tree 9-1 E,Tree 9-1 W,Tree 9-1 N,Tree 9-2 E,Tree 9-2 W,Tree 9-2 N,Tree 4-3 E,Tree 4-3 W,9-3 N,9-4 E,9-4 W,9-4 N,9-5 E,9-5 W,9-5 N,3-2 E,3-2 W,3-3 E,3-3 W,3-4 E,3-4 W,3-5 E,3-5 W,8-2 E,8-2 W,#753 E,# 753 W,3-6 E,3-6 W,3-1 E,3-1 W
2022,2.07,1.8,2.94,3.11,1.27,0.77,0.26,0.58,0.68,0.39,0.6,0.54,0.29,0.89,1.54,0.97,1.37,0.41,0.75,0.67,2.23,0.61,1.03,0.89,0.69,0.71,0.86,0.85,0.42,0.61,1.51,0.96,0.47,0.67,0.48,1.69,1.2,0.74,0.8,1.41,1.3,0.53,0.5,0.97,2.86
2021,2.09,2.68,3.11,3.13,1.41,1.72,0.45,0.45,0.84,0.55,0.61,0.42,0.48,1.26,1.7,0.57,2.01,0.59,0.51,1.45,2.38,0.71,1.3,1.34,1.28,0.72,1.07,1.08,0.85,0.55,1.28,1.17,0.52,0.95,0.55,2.8,1.26,0.98,0.68,0.69,2.06,0.86,0.7,0.88,0.55
2020,2.72,2.21,2.77,2.88,1.09,2.25,0.42,0.47,1.33,0.48,0.42,0.56,0.8,1.37,1.16,0.66,1.65,0.64,0.82,0.53,1.31,0.72,1.15,1.8,1.42,0.3,1.5,0.77,0.71,0.71,1.45,1.31,0.45,0.85,0.58,2.87,0.56,1.55,0.87,1.08,2.51,0.85,0.55,0.81,0.49
2019,1.66,2.52,2.33,2.92,1.6,1.76,0.51,0.57,1.3,0.65,0.55,1.46,0.77,1.79,1.27,0.63,1.62,0.88,1.86,0.58,1.18,1.51,1.08,1.01,1.38,0.97,2.03,0.84,1.46,0.76,0.76,1.14,0.49,1.15,1,1.59,0.54,1.13,0.73,0.99,1.67,0.75,0.54,0.31,0.63
2018,1.39,1.37,3.41,3.06,1.24,1.32,0.49,0.49,1.75,0.79,0.76,1.39,0.8,1.64,1.66,0.95,1.35,1.21,0.98,1.28,1.55,0.73,1.15,1.29,1.18,0.56,2.88,0.72,1.06,0.35,0.62,1.18,0.82,1.08,0.75,1.43,0.75,1.39,0.68,1.83,1.03,0.92,1.24,0.26,1.37
2017,1.56,2.35,2.95,2.74,1.05,1.12,0.54,0.67,1.07,0.91,1.55,1.16,0.39,1.66,2.48,0.64,1.13,1.06,1.08,1.5,1.58,0.44,1.08,2.05,1.52,0.57,1.92,1.55,0.82,0.23,0.64,1.07,0.6,1.74,0.42,1.36,1.37,1.24,0.76,1.84,1.51,0.94,0.96,0.34,1.83
2016,1.37,1.58,2.62,2.34,0.69,0.94,0.51,0.71,1.14,0.72,2.57,1.07,0.36,1.26,1.79,0.8,1.29,1.65,1,0.88,1.45,0.7,2.24,1.97,1.58,0.74,1.85,2.17,1.31,0.33,0.68,0.83,0.75,0.84,0.3,0.62,1.5,0.97,0.46,1.48,1.7,0.63,0.99,0.96,1.46
2015,0.79,1.1,2.67,3.18,0.94,0.86,1.15,0.67,1.2,0.8,2.17,0.65,0.82,1.67,1.47,0.69,3.15,1.37,0.74,0.94,3.28,1.78,1.33,1.62,2.35,1.3,1.81,1.03,2.79,0.81,0.56,1.32,0.71,0.97,0.36,0.63,1.38,1.05,0.82,1.71,1.78,0.46,0.9,0.7,2.57
2014,0.52,1.22,2.41,3.08,0.83,0.66,1.67,1.4,1.77,0.71,2.14,0.39,2.16,1.54,1.92,0.62,2.5,1.3,1.12,3.35,2.74,1.58,0.8,1.43,1.96,0.71,2.48,0.59,1.74,0.86,0.48,1.09,0.97,1.68,0.77,0.54,1.29,0.75,0.99,2.14,1.22,0.71,1.2,0.33,1.36
2013,0.74,2.16,2.74,3.49,1.2,1.15,1.02,1.53,2.57,1.5,1.72,0.5,2.48,2.77,4.09,0.79,1.86,0.91,1,0.77,1.56,0.85,0.58,1.64,1.39,0.83,0.99,1.24,1.5,1.04,0.43,1.12,0.7,3.22,1.8,1.46,1.3,1.29,1.04,1.71,3.31,0.65,1.02,0.41,1.29
2012,1.29,2.62,3.3,3.58,1.25,1.11,0.8,1.52,2.12,1.22,1.5,0.96,2.67,1.72,2.97,1.22,1.79,0.54,1.75,1.57,1.42,0.85,1.38,1.35,0.88,2.05,1.21,0.96,1.36,1.02,0.7,1.68,0.78,3.19,1.57,2.98,1.21,1.31,0.92,1.37,2.79,0.51,1.35,0.36,2
2011,1.51,1.83,2.88,2.06,1.43,0.82,0.94,1.05,1.44,1.16,1.6,0.91,1.82,1.28,2.38,0.97,2.31,1.12,1.4,0.8,2.44,1.42,1.02,1.99,0.97,1.25,1.74,1.19,1.22,1.4,0.86,1.05,0.67,2.76,2.1,2.42,1.67,1.27,1.1,1.77,2.07,0.42,1.11,0.2,1.72
2010,1.62,1.89,2.87,2,1.71,1.21,0.75,1.16,1.67,1.25,1.4,0.7,2.15,0.83,3.58,0.66,2.14,0.94,1.55,0.84,2.53,0.94,0.81,1.61,0.94,0.74,2.42,1.14,0.88,0.98,0.81,1.02,0.43,3.03,1.84,1.87,1.26,1.52,1.31,2.84,2.97,0.48,1.19,0.69,2.08
2009,1.25,0.97,2.37,2.08,2,1.29,1.13,1.13,1.65,1.53,1.29,1.08,1.84,0.87,2.97,0.73,2.11,1.13,1.28,1.55,1.96,1.03,0.74,1.96,0.85,0.71,1.84,1.44,1.13,1.5,0.78,1.77,0.59,2.43,1.78,2.5,1.43,1.42,1.45,2.09,2.54,0.86,0.68,0.5,1.64
2008,1.06,0.91,2.22,3.23,1.32,1.25,1.54,1.18,1.58,1.29,1.12,0.59,2.27,1.08,2.89,0.79,2.1,0.86,0.69,1.5,2.27,1.12,0.76,1.34,0.71,0.91,2.03,1.92,1.76,1.65,0.44,1.39,0.64,2.2,1.26,2.32,1.08,1.98,1.43,1.2,2.97,1.18,1.1,0.75,1.26
2007,1.32,0.75,3.39,2.58,1.08,1.73,1.29,2.27,1.47,1.44,1.1,1.19,2.11,1.2,1.85,0.7,1.47,0.84,0.49,1.17,3.1,0.67,0.6,1.53,0.67,1.15,1.69,1.55,1.95,1.66,0.78,1.24,0.43,2.99,1.61,4.06,0.74,2.02,1.63,0.83,2.44,0.87,1.08,0.48,1.75
2006,0.82,0.85,3.07,2.8,1.71,1.71,1.03,1.44,1.18,1.41,0.66,0.86,2.02,0.84,2.52,0.76,0.9,1.05,1.47,1.83,3.23,1.39,0.79,1.1,0.88,0.76,1.28,1.53,3.05,1.43,0.98,1,0.54,2.86,1.6,3.77,0.98,1.53,2.03,1.21,2.53,0.75,0.87,0.72,3.21
2005,0.87,0.79,4.45,4.25,1.79,1.44,0.95,1.53,1,1.48,1.34,1.01,3.39,1.8,2.46,0.62,0.86,1.13,0.9,0.89,1.82,1.14,0.87,0.94,0.84,0.84,1.53,1.39,1.42,1.56,0.89,1.24,0.27,2.49,1.47,2.95,1.49,1.37,2.15,2.06,3.41,0.56,1.33,0.69,2.5
2004,0.79,1.02,4.74,3.78,1.82,1.37,0.9,1.18,0.86,1.5,1.68,0.73,1.75,1.93,1.96,0.79,0.55,0.67,0.58,1.45,1.08,1.51,0.95,1.38,0.81,0.6,1.28,1.27,0.68,1.72,0.88,1.78,0.43,1.96,1.4,2.13,1.44,0.74,1.13,1.85,2.92,0.68,0.96,0.54,1.5
2003,0.8,0.74,3.64,3.1,2.55,3.48,1.27,0.84,1.03,0.52,1.4,0.99,1.68,1.89,1.18,0.39,1.33,0.53,1.16,1.36,2.2,0.98,0.99,0.96,0.66,0.87,2.46,0.92,1.43,1.52,1.26,1.64,0.81,1.62,1.25,1.13,1.39,0.72,1.62,1.41,2.7,0.66,1.17,1.46,1.35
2002,0.62,0.92,2.58,3.34,2.67,3.08,0.99,1.49,1.32,1.18,1.64,1.02,2.05,1.94,0.8,0.94,0.88,1.04,2.43,1.01,1.81,1.3,1.63,1.01,1.3,0.64,1.32,2,2.9,2.62,1,1.57,0.21,1.64,0.96,1.03,1.89,1.05,1.34,2.21,1.67,1.06,0.74,0.84,1.23
